Id,path,speakerId,action,object,Self-reported fluency level ,First Language spoken,Current language used for work/school,gender,ageRange
0,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/0a3129c0-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,change language,none,advanced,English (United States),English (United States),female,22-40
1,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/0ee42a80-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,activate,music,advanced,English (United States),English (United States),female,22-40
2,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/1d9f3920-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,deactivate,lights,advanced,English (United States),English (United States),female,22-40
3,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/269fc210-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),English (United States),female,22-40
4,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/5bbda3f0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),English (United States),female,22-40
5,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/6436ad60-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,advanced,English (United States),English (United States),female,22-40
6,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/6a1cd6f0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,heat,advanced,English (United States),English (United States),female,22-40
7,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/72160200-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,heat,advanced,English (United States),English (United States),female,22-40
8,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/74d262e0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,advanced,English (United States),English (United States),female,22-40
9,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/77cb5790-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,advanced,English (United States),English (United States),female,22-40
10,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7aab1ef0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,advanced,English (United States),English (United States),female,22-40
11,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7d87b200-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,advanced,English (United States),English (United States),female,22-40
12,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/870ef720-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,activate,music,advanced,English (United States),English (United States),female,22-40
13,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/892a8420-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,activate,music,advanced,English (United States),English (United States),female,22-40
