Id,path,speakerId,Self-reported fluency level ,First Language spoken,Current language used for work/school,gender,ageRange
0,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/f53ce6b0-45bf-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
1,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/1d5f80b0-4527-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
2,dsl_data/audio/speakers/7B4XmNppyrCK977p/1c0d59c0-45cd-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
3,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/275c3960-4526-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
4,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/b7c7a180-4529-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
5,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/8d017750-4529-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
6,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/f8769fa0-4598-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
7,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/628b69b0-45bd-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
8,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/ec446bf0-452e-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
9,dsl_data/audio/speakers/aokxBz9LxXHzZzay/3d40c470-44cd-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,native,English (United States),English (United States),female,22-40
10,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/175349d0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
11,dsl_data/audio/speakers/aokxBz9LxXHzZzay/76a80ca0-44cd-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,native,English (United States),English (United States),female,22-40
